all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,exact_k_rate,fragmentation_rate,mask_condition,mean_matched_iou,mean_merge_ops,mean_split_ops,merge_rate,method_family,method_key,n
0.8064516129032258,0.7741935483870968,0.7741935483870968,1.0,0.0,GT_SEMANTIC,0.8974455278431362,0.6881720430107527,0.0,0.0,k_normalizer,nearest_component_k_normalizer,93
0.8064516129032258,0.7634408602150538,0.7634408602150538,1.0,0.0,GT_SEMANTIC,0.892849815203382,0.6881720430107527,0.0,0.0,k_normalizer,area_aware_k_normalizer,93
0.9247311827956989,0.9247311827956989,0.9139784946236559,1.0,0.0,GT_SEMANTIC,0.961469652623085,0.6881720430107527,0.0,0.0,k_normalizer,centroid_distance_k_normalizer,93
0.8817204301075269,0.8602150537634409,0.8602150537634409,1.0,0.0,GT_SEMANTIC,0.9396860802258714,0.6881720430107527,0.0,0.0,k_normalizer,hybrid_k_normalization,93
0.978494623655914,0.978494623655914,0.978494623655914,0.989247311827957,0.0,GT_SEMANTIC,0.9896780083358258,0.6989247311827957,0.0,0.010752688172043012,diagnostic_oracle,gt_fragment_grouping_oracle,93
0.34408602150537637,0.26881720430107525,0.13978494623655913,1.0,0.0,PREDICTED_SEMANTIC,0.5165891735319856,1.4731182795698925,0.22580645161290322,0.0,k_normalizer,nearest_component_k_normalizer,93
0.3870967741935484,0.27956989247311825,0.13978494623655913,1.0,0.0,PREDICTED_SEMANTIC,0.534360717615592,1.4731182795698925,0.22580645161290322,0.0,k_normalizer,area_aware_k_normalizer,93
0.4838709677419355,0.3225806451612903,0.15053763440860216,1.0,0.0,PREDICTED_SEMANTIC,0.5745997306284747,1.4731182795698925,0.22580645161290322,0.0,k_normalizer,centroid_distance_k_normalizer,93
0.3978494623655914,0.2903225806451613,0.13978494623655913,1.0,0.0,PREDICTED_SEMANTIC,0.5441557514520073,1.4731182795698925,0.22580645161290322,0.0,k_normalizer,hybrid_k_normalization,93
0.5376344086021505,0.3655913978494624,0.16129032258064516,0.6344086021505376,0.0,PREDICTED_SEMANTIC,0.5604848495387826,1.6774193548387097,0.0,0.3655913978494624,diagnostic_oracle,gt_fragment_grouping_oracle,93
0.978494623655914,0.8279569892473119,0.7419354838709677,0.5913978494623656,,GT_SEMANTIC,0.930113320875453,,,,previous_geometry,baseline_connected_components,
0.978494623655914,0.8279569892473119,0.7419354838709677,0.5913978494623656,,GT_SEMANTIC,0.930113320875453,,,,previous_geometry,global_distance_maxima_r09,
0.41935483870967744,0.27956989247311825,0.15053763440860216,0.22580645161290322,,PREDICTED_SEMANTIC,0.5542950137716002,,,,previous_geometry,baseline_connected_components,
0.41935483870967744,0.27956989247311825,0.15053763440860216,0.3548387096774194,,PREDICTED_SEMANTIC,0.5573108664968115,,,,previous_geometry,global_distance_maxima_r09,
0.46236559139784944,,,0.34408602150537637,,PREDICTED_SEMANTIC,0.5772192700413027,,,,previous_geometry,previous_neck_cut_w3,
,,,0.5913978494623656,,CENTER_REFERENCE,0.572104696693949,,,,center_reference,existing_center_reference,
