sample_id,patient_id,gt_count,mask_condition,method_key,method_family,method_variant,metadata_fullimage_count,pred_instance_count,instance_exact_count_acc,instance_mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,instance_merged_rate,instance_fragmented_rate,instance_perfect_rate,unmatched_gt_instances,unmatched_pred_instances,matched_iou_per_gt,failure_attribution
m05_p01_s18,m05_p01,3,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,3,3,1.0,0.35380875769276704,0.49310726813957784,0.0,0.0,0.0,0.0,0.0,0.0,1,1,"[0.49310726813957784, 0.0, 0.5683190049387232]",false_semantic_bridges
m05_p01_s18,m05_p01,3,PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,3,3,1.0,0.35135732478407516,0.4857529694135024,0.0,0.0,0.0,0.0,0.0,0.0,1,1,"[0.4857529694135024, 0.0, 0.5683190049387232]",false_semantic_bridges
m05_p01_s18,m05_p01,3,PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,3,2,0.0,0.41675803127343963,0.5683190049387232,0.0,0.0,0.0,1.0,0.0,0.0,1,0,"[0.9212662094576383, 0.0, 0.5683190049387232]",false_semantic_bridges
m05_p01_s19,m05_p01,2,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",seed_failures
m05_p01_s19,m05_p01,2,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s19,m05_p01,2,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s19,m05_p01,2,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s19,m05_p01,2,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s19,m05_p01,2,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s19,m05_p01,2,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,3,0.0,0.8499769378062052,0.8499769378062052,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[0.8394814014508412, 0.8604724741615692]",seed_failures
m05_p01_s19,m05_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,3,0.0,0.8499769378062052,0.8499769378062052,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[0.8394814014508412, 0.8604724741615692]",seed_failures
m05_p01_s19,m05_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,3,0.0,0.8499769378062052,0.8499769378062052,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[0.8394814014508412, 0.8604724741615692]",seed_failures
m05_p01_s19,m05_p01,2,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,3,0.0,0.8499769378062052,0.8499769378062052,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[0.8394814014508412, 0.8604724741615692]",seed_failures
m05_p01_s19,m05_p01,2,PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,2,3,0.0,0.8499769378062052,0.8499769378062052,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[0.8394814014508412, 0.8604724741615692]",seed_failures
m05_p01_s19,m05_p01,2,PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,2,3,0.0,0.8499769378062052,0.8499769378062052,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[0.8394814014508412, 0.8604724741615692]",seed_failures
m05_p01_s20,m05_p01,2,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",seed_failures
m05_p01_s20,m05_p01,2,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s20,m05_p01,2,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s20,m05_p01,2,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s20,m05_p01,2,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s20,m05_p01,2,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,"[1.0, 1.0]",other
m05_p01_s20,m05_p01,2,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,4,0.0,0.7580483128223359,0.7580483128223359,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.8332410994281498, 0.682855526216522]",false_semantic_bridges
m05_p01_s20,m05_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,4,0.0,0.7580483128223359,0.7580483128223359,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.8332410994281498, 0.682855526216522]",false_semantic_bridges
m05_p01_s20,m05_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,4,0.0,0.7580483128223359,0.7580483128223359,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.8332410994281498, 0.682855526216522]",false_semantic_bridges
m05_p01_s20,m05_p01,2,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,4,0.0,0.7580483128223359,0.7580483128223359,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.8332410994281498, 0.682855526216522]",false_semantic_bridges
m05_p01_s20,m05_p01,2,PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,2,4,0.0,0.7580483128223359,0.7580483128223359,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.8332410994281498, 0.682855526216522]",false_semantic_bridges
m05_p01_s20,m05_p01,2,PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,2,4,0.0,0.7580483128223359,0.7580483128223359,1.0,0.0,0.0,0.0,1.0,0.0,0,2,"[0.8332410994281498, 0.682855526216522]",false_semantic_bridges
m05_p01_s21,m05_p01,2,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,3,0.0,0.9261880429228411,0.9261880429228411,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[1.0, 0.8523760858456821]",seed_failures
m05_p01_s21,m05_p01,2,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,3,0.0,0.9261880429228411,0.9261880429228411,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[1.0, 0.8523760858456821]",seed_failures
m05_p01_s21,m05_p01,2,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,3,0.0,0.9261880429228411,0.9261880429228411,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[1.0, 0.8523760858456821]",seed_failures
m05_p01_s21,m05_p01,2,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,3,0.0,0.9261880429228411,0.9261880429228411,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[1.0, 0.8523760858456821]",seed_failures
m05_p01_s21,m05_p01,2,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,2,3,0.0,0.9261880429228411,0.9261880429228411,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[1.0, 0.8523760858456821]",seed_failures
m05_p01_s21,m05_p01,2,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,2,3,0.0,0.9261880429228411,0.9261880429228411,1.0,1.0,1.0,0.0,1.0,0.0,0,1,"[1.0, 0.8523760858456821]",seed_failures
m05_p01_s21,m05_p01,2,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,2,2,1.0,0.846550544180531,0.846550544180531,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.8400593932141037, 0.8530416951469583]",seed_failures
m05_p01_s21,m05_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,2,2,1.0,0.846550544180531,0.846550544180531,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.8400593932141037, 0.8530416951469583]",other
m05_p01_s21,m05_p01,2,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,2,2,1.0,0.846550544180531,0.846550544180531,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.8400593932141037, 0.8530416951469583]",other
m05_p01_s21,m05_p01,2,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,2,2,1.0,0.846550544180531,0.846550544180531,1.0,1.0,1.0,0.0,0.0,0.0,0,0,"[0.8400593932141037, 0.8530416951469583]",other
