sample_id,patient_id,gt_count,mask_condition,method_key,method_family,method_variant,metadata_fullimage_count,pred_instance_count,instance_exact_count_acc,instance_mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,instance_merged_rate,instance_fragmented_rate,instance_perfect_rate,unmatched_gt_instances,unmatched_pred_instances,matched_iou_per_gt,failure_attribution
m05_p01_s24,m05_p01,3,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,3,4,0.0,0.558460712954815,0.4373799462159047,0.0,0.0,0.0,0.0,1.0,0.0,0,1,"[0.4118112908700079, 0.4373799462159047, 0.8261909017785325]",false_semantic_bridges
m05_p01_s24,m05_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,3,4,0.0,0.558460712954815,0.4373799462159047,0.0,0.0,0.0,0.0,1.0,0.0,0,1,"[0.4118112908700079, 0.4373799462159047, 0.8261909017785325]",false_semantic_bridges
m05_p01_s24,m05_p01,3,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,3,4,0.0,0.558460712954815,0.4373799462159047,0.0,0.0,0.0,0.0,1.0,0.0,0,1,"[0.4118112908700079, 0.4373799462159047, 0.8261909017785325]",false_semantic_bridges
m05_p01_s24,m05_p01,3,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,3,4,0.0,0.558460712954815,0.4373799462159047,0.0,0.0,0.0,0.0,1.0,0.0,0,1,"[0.4118112908700079, 0.4373799462159047, 0.8261909017785325]",false_semantic_bridges
m05_p01_s24,m05_p01,3,PREDICTED_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,3,4,0.0,0.558460712954815,0.4373799462159047,0.0,0.0,0.0,0.0,1.0,0.0,0,1,"[0.4118112908700079, 0.4373799462159047, 0.8261909017785325]",false_semantic_bridges
m05_p01_s24,m05_p01,3,PREDICTED_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,3,4,0.0,0.558460712954815,0.4373799462159047,0.0,0.0,0.0,0.0,1.0,0.0,0,1,"[0.4118112908700079, 0.4373799462159047, 0.8261909017785325]",false_semantic_bridges
m05_p01_s25,m05_p01,1,GT_SEMANTIC,baseline_connected_components,connected_components,raw_cc,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,[1.0],seed_failures
m05_p01_s25,m05_p01,1,GT_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,[1.0],other
m05_p01_s25,m05_p01,1,GT_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,[1.0],other
m05_p01_s25,m05_p01,1,GT_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,[1.0],other
m05_p01_s25,m05_p01,1,GT_SEMANTIC,prominent_maxima_rel30,prominent_maxima,prominence0p30_radius15,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,[1.0],other
m05_p01_s25,m05_p01,1,GT_SEMANTIC,component_aware_maxima,component_aware_maxima,per_component_greedy,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,[1.0],other
m05_p01_s25,m05_p01,1,PREDICTED_SEMANTIC,baseline_connected_components,connected_components,raw_cc,1,2,0.0,0.6899947991158497,0.6899947991158497,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6899947991158497],missing_semantic_tissue
m05_p01_s25,m05_p01,1,PREDICTED_SEMANTIC,global_distance_maxima_r09,global_distance_maxima,radius9_rel0p08,1,2,0.0,0.6899947991158497,0.6899947991158497,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6899947991158497],missing_semantic_tissue
m05_p01_s25,m05_p01,1,PREDICTED_SEMANTIC,global_distance_maxima_r15,global_distance_maxima,radius15_rel0p12,1,2,0.0,0.6899947991158497,0.6899947991158497,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6899947991158497],missing_semantic_tissue
m05_p01_s25,m05_p01,1,PREDICTED_SEMANTIC,prominent_maxima_rel20,prominent_maxima,prominence0p20_radius12,1,2,0.0,0.6899947991158497,0.6899947991158497,1.0,0.0,0.0,0.0,1.0,0.0,0,1,[0.6899947991158497],missing_semantic_tissue
