mask_condition,method_key,patient_id,n,exact_instance_count,mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,merge_rate,fragmentation_rate,perfect_rate
GT_SEMANTIC,baseline_connected_components,m04_p01,38,0.6052631578947368,0.9377906754756185,0.9560261087561464,1.0,0.7894736842105263,0.6842105263157895,0.0,0.39473684210526316,0.6052631578947368
GT_SEMANTIC,baseline_connected_components,m05_p01,45,0.6,0.9280499884530924,0.9325234670259868,0.9777777777777777,0.8444444444444444,0.7777777777777778,0.0,0.4,0.5777777777777777
GT_SEMANTIC,baseline_connected_components,m12_p02,10,0.5,0.910224369295447,0.9355015607804669,0.9,0.9,0.8,0.0,0.5,0.4
GT_SEMANTIC,component_aware_maxima,m04_p01,38,0.6052631578947368,0.9377906754756185,0.9560261087561464,1.0,0.7894736842105263,0.6842105263157895,0.0,0.39473684210526316,0.6052631578947368
GT_SEMANTIC,component_aware_maxima,m05_p01,45,0.6,0.9280499884530924,0.9325234670259868,0.9777777777777777,0.8444444444444444,0.7777777777777778,0.0,0.4,0.5777777777777777
GT_SEMANTIC,component_aware_maxima,m12_p02,10,0.5,0.910224369295447,0.9355015607804669,0.9,0.9,0.8,0.0,0.5,0.4
GT_SEMANTIC,global_distance_maxima_r09,m04_p01,38,0.6052631578947368,0.9377906754756185,0.9560261087561464,1.0,0.7894736842105263,0.6842105263157895,0.0,0.39473684210526316,0.6052631578947368
GT_SEMANTIC,global_distance_maxima_r09,m05_p01,45,0.6,0.9280499884530924,0.9325234670259868,0.9777777777777777,0.8444444444444444,0.7777777777777778,0.0,0.4,0.5777777777777777
GT_SEMANTIC,global_distance_maxima_r09,m12_p02,10,0.5,0.910224369295447,0.9355015607804669,0.9,0.9,0.8,0.0,0.5,0.4
GT_SEMANTIC,global_distance_maxima_r15,m04_p01,38,0.6052631578947368,0.9377906754756185,0.9560261087561464,1.0,0.7894736842105263,0.6842105263157895,0.0,0.39473684210526316,0.6052631578947368
GT_SEMANTIC,global_distance_maxima_r15,m05_p01,45,0.6,0.9280499884530924,0.9325234670259868,0.9777777777777777,0.8444444444444444,0.7777777777777778,0.0,0.4,0.5777777777777777
GT_SEMANTIC,global_distance_maxima_r15,m12_p02,10,0.5,0.910224369295447,0.9355015607804669,0.9,0.9,0.8,0.0,0.5,0.4
GT_SEMANTIC,prominent_maxima_rel20,m04_p01,38,0.6052631578947368,0.9377906754756185,0.9560261087561464,1.0,0.7894736842105263,0.6842105263157895,0.0,0.39473684210526316,0.6052631578947368
GT_SEMANTIC,prominent_maxima_rel20,m05_p01,45,0.6,0.9280499884530924,0.9325234670259868,0.9777777777777777,0.8444444444444444,0.7777777777777778,0.0,0.4,0.5777777777777777
GT_SEMANTIC,prominent_maxima_rel20,m12_p02,10,0.5,0.910224369295447,0.9355015607804669,0.9,0.9,0.8,0.0,0.5,0.4
GT_SEMANTIC,prominent_maxima_rel30,m04_p01,38,0.6052631578947368,0.9377906754756185,0.9560261087561464,1.0,0.7894736842105263,0.6842105263157895,0.0,0.39473684210526316,0.6052631578947368
GT_SEMANTIC,prominent_maxima_rel30,m05_p01,45,0.6,0.9280499884530924,0.9325234670259868,0.9777777777777777,0.8444444444444444,0.7777777777777778,0.0,0.4,0.5777777777777777
GT_SEMANTIC,prominent_maxima_rel30,m12_p02,10,0.5,0.910224369295447,0.9355015607804669,0.9,0.9,0.8,0.0,0.5,0.4
PREDICTED_SEMANTIC,baseline_connected_components,m04_p01,38,0.18421052631578946,0.52850967351627,0.5701180915653555,0.2894736842105263,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.6578947368421053,0.0
PREDICTED_SEMANTIC,baseline_connected_components,m05_p01,45,0.28888888888888886,0.6363671919679057,0.6459857234275762,0.6,0.4666666666666667,0.2222222222222222,0.17777777777777778,0.5333333333333333,0.0
PREDICTED_SEMANTIC,baseline_connected_components,m12_p02,10,0.1,0.28295450485848017,0.26447825830147387,0.1,0.1,0.0,0.3,0.6,0.0
PREDICTED_SEMANTIC,component_aware_maxima,m04_p01,38,0.34210526315789475,0.5346754454464432,0.5663857219531466,0.2894736842105263,0.10526315789473684,0.10526315789473684,0.0,0.6578947368421053,0.0
PREDICTED_SEMANTIC,component_aware_maxima,m05_p01,45,0.37777777777777777,0.6382884256912158,0.6558865374023437,0.6,0.4666666666666667,0.2222222222222222,0.08888888888888889,0.5333333333333333,0.0
PREDICTED_SEMANTIC,component_aware_maxima,m12_p02,10,0.2,0.2852213774714588,0.26447825830147387,0.1,0.1,0.0,0.2,0.6,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r09,m04_p01,38,0.34210526315789475,0.5346754454464432,0.5663857219531466,0.2894736842105263,0.10526315789473684,0.10526315789473684,0.0,0.6578947368421053,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r09,m05_p01,45,0.4,0.6368895529449786,0.6542151654734738,0.6,0.4666666666666667,0.2222222222222222,0.06666666666666667,0.5333333333333333,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r09,m12_p02,10,0.2,0.2852213774714588,0.26447825830147387,0.1,0.1,0.0,0.2,0.6,0.0
