mask_condition,method_key,gt_count,n,exact_instance_count,mean_matched_iou,median_matched_iou,all_iou_ge_0.50,all_iou_ge_0.70,all_iou_ge_0.80,merge_rate,fragmentation_rate,perfect_rate
GT_SEMANTIC,baseline_connected_components,1,16,0.625,0.8851220398737688,0.8851220398737688,1.0,0.8125,0.625,0.0,0.375,0.625
GT_SEMANTIC,baseline_connected_components,2,31,0.4838709677419355,0.9235279786944068,0.9235279786944068,0.967741935483871,0.8387096774193549,0.7741935483870968,0.0,0.5161290322580645,0.45161290322580644
GT_SEMANTIC,baseline_connected_components,3,46,0.6521739130434783,0.9502004100850047,0.9751357343304504,0.9782608695652174,0.8260869565217391,0.7608695652173914,0.0,0.34782608695652173,0.6304347826086957
GT_SEMANTIC,component_aware_maxima,1,16,0.625,0.8851220398737688,0.8851220398737688,1.0,0.8125,0.625,0.0,0.375,0.625
GT_SEMANTIC,component_aware_maxima,2,31,0.4838709677419355,0.9235279786944068,0.9235279786944068,0.967741935483871,0.8387096774193549,0.7741935483870968,0.0,0.5161290322580645,0.45161290322580644
GT_SEMANTIC,component_aware_maxima,3,46,0.6521739130434783,0.9502004100850047,0.9751357343304504,0.9782608695652174,0.8260869565217391,0.7608695652173914,0.0,0.34782608695652173,0.6304347826086957
GT_SEMANTIC,global_distance_maxima_r09,1,16,0.625,0.8851220398737688,0.8851220398737688,1.0,0.8125,0.625,0.0,0.375,0.625
GT_SEMANTIC,global_distance_maxima_r09,2,31,0.4838709677419355,0.9235279786944068,0.9235279786944068,0.967741935483871,0.8387096774193549,0.7741935483870968,0.0,0.5161290322580645,0.45161290322580644
GT_SEMANTIC,global_distance_maxima_r09,3,46,0.6521739130434783,0.9502004100850047,0.9751357343304504,0.9782608695652174,0.8260869565217391,0.7608695652173914,0.0,0.34782608695652173,0.6304347826086957
GT_SEMANTIC,global_distance_maxima_r15,1,16,0.625,0.8851220398737688,0.8851220398737688,1.0,0.8125,0.625,0.0,0.375,0.625
GT_SEMANTIC,global_distance_maxima_r15,2,31,0.4838709677419355,0.9235279786944068,0.9235279786944068,0.967741935483871,0.8387096774193549,0.7741935483870968,0.0,0.5161290322580645,0.45161290322580644
GT_SEMANTIC,global_distance_maxima_r15,3,46,0.6521739130434783,0.9502004100850047,0.9751357343304504,0.9782608695652174,0.8260869565217391,0.7608695652173914,0.0,0.34782608695652173,0.6304347826086957
GT_SEMANTIC,prominent_maxima_rel20,1,16,0.625,0.8851220398737688,0.8851220398737688,1.0,0.8125,0.625,0.0,0.375,0.625
GT_SEMANTIC,prominent_maxima_rel20,2,31,0.4838709677419355,0.9235279786944068,0.9235279786944068,0.967741935483871,0.8387096774193549,0.7741935483870968,0.0,0.5161290322580645,0.45161290322580644
GT_SEMANTIC,prominent_maxima_rel20,3,46,0.6521739130434783,0.9502004100850047,0.9751357343304504,0.9782608695652174,0.8260869565217391,0.7608695652173914,0.0,0.34782608695652173,0.6304347826086957
GT_SEMANTIC,prominent_maxima_rel30,1,16,0.625,0.8851220398737688,0.8851220398737688,1.0,0.8125,0.625,0.0,0.375,0.625
GT_SEMANTIC,prominent_maxima_rel30,2,31,0.4838709677419355,0.9235279786944068,0.9235279786944068,0.967741935483871,0.8387096774193549,0.7741935483870968,0.0,0.5161290322580645,0.45161290322580644
GT_SEMANTIC,prominent_maxima_rel30,3,46,0.6521739130434783,0.9502004100850047,0.9751357343304504,0.9782608695652174,0.8260869565217391,0.7608695652173914,0.0,0.34782608695652173,0.6304347826086957
PREDICTED_SEMANTIC,baseline_connected_components,1,16,0.5625,0.7679048920142235,0.7679048920142235,1.0,0.75,0.4375,0.0,0.4375,0.0
PREDICTED_SEMANTIC,baseline_connected_components,2,31,0.22580645161290322,0.5860914355451073,0.5860914355451073,0.5161290322580645,0.3548387096774194,0.22580645161290322,0.0967741935483871,0.6774193548387096,0.0
PREDICTED_SEMANTIC,baseline_connected_components,3,46,0.10869565217391304,0.45856790231810685,0.4983329313611582,0.15217391304347827,0.06521739130434782,0.0,0.30434782608695654,0.5869565217391305,0.0
PREDICTED_SEMANTIC,component_aware_maxima,1,16,0.5625,0.7679048920142235,0.7679048920142235,1.0,0.75,0.4375,0.0,0.4375,0.0
PREDICTED_SEMANTIC,component_aware_maxima,2,31,0.3225806451612903,0.577504703272914,0.577504703272914,0.5161290322580645,0.3548387096774194,0.22580645161290322,0.0,0.6774193548387096,0.0
PREDICTED_SEMANTIC,component_aware_maxima,3,46,0.2826086956521739,0.4718203431325267,0.5107219592750405,0.15217391304347827,0.06521739130434782,0.0,0.13043478260869565,0.5869565217391305,0.0
PREDICTED_SEMANTIC,global_distance_maxima_r09,1,16,0.5625,0.7679048920142235,0.7679048920142235,1.0,0.75,0.4375,0.0,0.4375,0.0
